RepRapFirmware height map file v2 generated at 2026-04-22 17:48, min error -0.402, max error 0.334, mean -0.050, deviation 0.138
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,-13.00,585.00,22.00,578.00,-1.00,29.90,27.80,21,21
  0.056,  0.013, -0.029, -0.131, -0.146, -0.147, -0.188, -0.243, -0.276, -0.262, -0.267, -0.204, -0.172, -0.185, -0.181, -0.184, -0.122, -0.030,  0.046,  0.073,  0.061
  0.030,  0.014, -0.087, -0.127, -0.179, -0.186, -0.172, -0.207, -0.262, -0.274, -0.243, -0.183, -0.183, -0.178, -0.189, -0.165, -0.089,  0.010,  0.055,  0.067,  0.066
  0.021,  0.027, -0.036, -0.128, -0.146, -0.197, -0.177, -0.184, -0.239, -0.220, -0.225, -0.161, -0.133, -0.144, -0.138, -0.140, -0.084,  0.012,  0.031,  0.078,  0.060
  0.076,  0.048, -0.031, -0.093, -0.138, -0.147, -0.130, -0.168, -0.217, -0.237, -0.203, -0.143, -0.143, -0.136, -0.155, -0.109, -0.086,  0.007,  0.066,  0.066,  0.066
  0.061,  0.066,  0.006, -0.087, -0.105, -0.155, -0.136, -0.204, -0.233, -0.221, -0.167, -0.132, -0.084, -0.108, -0.095, -0.104, -0.035,  0.048,  0.076,  0.110,  0.058
  0.071,  0.050, -0.041, -0.084, -0.138, -0.144, -0.134, -0.158, -0.238, -0.194, -0.160, -0.101, -0.104, -0.095, -0.113, -0.069, -0.007,  0.064,  0.064,  0.064,  0.067
  0.119,  0.100,  0.049, -0.047, -0.121, -0.150, -0.138, -0.142, -0.202, -0.174, -0.128, -0.089, -0.047, -0.064, -0.056, -0.061,  0.002,  0.094,  0.113,  0.105,  0.106
  0.112,  0.097, -0.007, -0.038, -0.105, -0.089, -0.126, -0.176, -0.195, -0.151, -0.118, -0.058, -0.059, -0.058, -0.070, -0.020, -0.013,  0.107,  0.108,  0.109,  0.104
  0.160,  0.143,  0.032, -0.040, -0.067, -0.115, -0.095, -0.161, -0.192, -0.177, -0.123, -0.031, -0.011, -0.078, -0.049, -0.061,  0.000,  0.095,  0.115,  0.106,  0.108
  0.156,  0.131,  0.053, -0.038, -0.107, -0.089, -0.124, -0.179, -0.184, -0.177, -0.059, -0.059, -0.061, -0.056, -0.072, -0.020, -0.013,  0.106,  0.105,  0.112,  0.101
  0.199,  0.180,  0.079, -0.055, -0.124, -0.147, -0.138, -0.142, -0.202, -0.175, -0.128, -0.088, -0.047, -0.064, -0.056, -0.058, -0.001,  0.094,  0.172,  0.137,  0.092
  0.259,  0.170,  0.097, -0.002, -0.056, -0.067, -0.040, -0.103, -0.094, -0.115, -0.074, -0.023, -0.002, -0.055, -0.064, -0.049,  0.053,  0.092,  0.141,  0.163,  0.110
  0.275,  0.211,  0.119, -0.019, -0.076, -0.109, -0.097, -0.104, -0.159, -0.133, -0.085, -0.045, -0.006, -0.078, -0.049, -0.060, -0.001,  0.095,  0.173,  0.138,  0.152
  0.293,  0.227,  0.097, -0.003, -0.046, -0.087, -0.126, -0.178, -0.191, -0.166, -0.081, -0.004, -0.054, -0.058, -0.064, -0.048,  0.053,  0.090,  0.145,  0.151,  0.144
  0.320,  0.193,  0.125, -0.021, -0.075, -0.111, -0.151, -0.137, -0.207, -0.171, -0.125, -0.031, -0.068, -0.060, -0.116, -0.033, -0.009,  0.099,  0.171,  0.139,  0.151
  0.294,  0.225,  0.111, -0.041, -0.085, -0.132, -0.170, -0.212, -0.254, -0.154, -0.114, -0.066, -0.043, -0.098, -0.107, -0.081, -0.006,  0.088,  0.145,  0.151,  0.142
  0.321,  0.192,  0.117, -0.007, -0.140, -0.143, -0.200, -0.237, -0.220, -0.225, -0.161, -0.073, -0.110, -0.097, -0.100, -0.099, -0.036,  0.106,  0.166,  0.141,  0.154
  0.255,  0.186,  0.069, -0.043, -0.127, -0.171, -0.205, -0.265, -0.271, -0.252, -0.159, -0.097, -0.103, -0.097, -0.109, -0.082, -0.007,  0.089,  0.146,  0.150,  0.142
  0.334,  0.186,  0.071, -0.058, -0.177, -0.188, -0.237, -0.276, -0.319, -0.301, -0.248, -0.153, -0.136, -0.144, -0.138, -0.082, -0.046,  0.053,  0.131,  0.096,  0.112
  0.305,  0.203,  0.025, -0.109, -0.210, -0.255, -0.288, -0.345, -0.355, -0.334, -0.247, -0.176, -0.202, -0.140, -0.149, -0.123, -0.046,  0.047,  0.105,  0.115,  0.138
  0.314,  0.194,  0.068, -0.114, -0.214, -0.289, -0.316, -0.363, -0.402, -0.384, -0.271, -0.202, -0.174, -0.186, -0.180, -0.123, -0.087,  0.074,  0.122,  0.100,  0.112
